OrgID,Legal title,Applied title,Website,Enabling instruments,Description raison d'étre,Ministerial portfolio,Institutional form,Population code,FAA institution schedule,FAA HR schedule,Appropriate Minister 1,Appropriate Minister 2,Appropriate Minister 3,Year of incorporation,Auditor 1,Auditor 2,Fiscal year end,Federal ownership or representation,Status,End date,Notes
72,Canadian Human Rights Tribunal,N.A.,N.A.,"Canadian Human Rights Act, R.S.C. 1985, c. H-6",To provide Canadians with an improved quality of life and an assurance of equal access to the opportunities that exist in Canadian society through the fair-minded and equitable interpretation and enforcement of the Canadian Human Rights Act and the Employment Equity Act.,N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1977,N.A.,N.A.,N.A.,N.A.,Transferred,2014,"Pursuant to the Administrative Tribunals Support Service of Canada Act, the Canadian Human Rights Tribunal was amalgamated to the Administrative Tribunals Support Service of Canada, effective November 1, 2014."
73,Canadian Institute for Health Information,N.A.,www.cihi.ca,"Canada Not-for-profit Corporations Act, S.C. 2009, c. 23","Deliver comparable and actionable information to accelerate improvements in health care, health system performance and population health across the continuum of care.",Health,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Health,N.A.,N.A.,1993,KPMG,N.A.,31-Mar,2/16 board members,Active,N.A.,N.A.
74,Canadian Institutes of Health Research,N.A.,www.cihr-irsc.gc.ca,"Canadian Institutes of Health Research Act, S.C. 2000, c. 6","The Canadian Institutes of Health Research (CIHR) is the Government of  Canada’s health research funding agency. The Minister of Health is  responsible for this organization. It was created in June 2000 by the  Canadian Institutes of Health Research Act  with a mandate “to  excel, according to internationally accepted standards of scientific excellence, in the creation of new knowledge and its translation into improved health for Canadians, more effective health services and products and a strengthened Canadian health care system.” CIHR's mandate seeks to transform health research in Canada in an ethically sound manner by: Funding both investigator initiated and priority driven research; Building research capacity in under-developed areas and training the next generation of health researchers; and Focusing on knowledge translation that facilitates the application of the results of research and their transformation into new policies, practices, procedures, products and services.",Health,Departmental Corporations,CRI,II,V,Minister of Health,N.A.,N.A.,2000,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
75,Canadian Intellectual Property Office,Canadian Intellectual Property Office,www.cipo.gc.ca,"CIPO was established as a Special Operating Agency under the authority of the Treasury Board Decision No. 818131, dated May 7, 1992","To deliver quality and timely intellectual property (IP) products and services to its clients; to increase the awareness, knowledge and effective use of IP by Canadians; and to promote Canada’s IP interests internationally.","Innovation, Science and Economic Development",Special Operating Agencies,N.A.,N.A.,N.A.,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,1992,KPMG LLP,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
76,Canadian Intergovernmental Conference Secretariat,N.A.,www.scics.ca,"Financial Administration Act, R.S.C. 1985, c. F-11 Order-in-Council P.C. 1973-1698, Order-in-Council P.C. 2006-0087","The President of the Queen’s Privy Council for Canada is responsible for  this organization. The Canadian Intergovernmental Conference Secretariat  (CICS), established pursuant to an agreement reached at the May 1973  First Ministers’ Conference, is an agency of the federal, provincial and  territorial governments. Its mandate is to provide administrative  support and planning services for intergovernmental conferences of First Ministers, Ministers and Deputy Ministers.    These intergovernmental conferences are a key instrument for  consultation and negotiation among the different orders of governments  and assist in the development of national and/or provincial/territorial  policies. They are a critical component of the workings of the Canadian  federation and represent a core principle of our democratic society.    By skilfully executing the logistical planning and delivery of these  meetings, CICS not only relieves governments of the administrative  process burden but also allows them to greatly benefit from significant cost efficiencies and economies of scale.",Privy Council,Departmental Agencies,CIC,I.1,IV,President of the Queen's Privy Council for Canada,N.A.,N.A.,1973,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
77,Canadian International Development Agency,N.A.,N.A.,Order-in-Council P.C. 1968-1760,"To lead Canada’s international efforts to help people living in poverty. To manage Canada’s aid program effectively and accountably to achieve meaningful, sustainable development results, and to engage in policy development in Canada and internationally, enabling Canada to realize its development objectives.",N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1968,N.A.,N.A.,N.A.,N.A.,Transferred,2013,"Division 12 of Part 3 of the Economic Action Plan 2013 Act, No. 1 states that the Canadian International Development Agency is amalgamated with Foreign Affairs, Trade and Development, effective June 26, 2013."
78,Canadian International Grains Institute,N.A.,N.A.,"Canada Corporations Act, R.S.C. 1970, c. C-32","To create profitable opportunities for Canadian field crops through the delivery of technical expertise, support, applied research and customized training to the domestic industry and customers around the world. ",N.A.,Shared-Governance Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1972,N.A.,N.A.,N.A.,N.A.,Dissolved,2013,N.A.
79,Canadian International Trade Tribunal,N.A.,N.A.,"Canadian International Trade Tribunal Act, R.S.C. 1985, c. 47, (4th Supp.)","To inquire into whether dumped or subsidized imports have caused, or are threatening to cause, injury to a domestic industry; to inquire into complaints by potential suppliers concerning procurement by the federal government that is covered by the North American Free Trade Agreement, the Agreement on Internal Trade, the World Trade Organization Agreement on Government Procurement, the Canada-Chile Free Trade Agreement, the Canada-Peru Free Trade Agreement and the Canada-Columbia Free Trade Agreement; to hear appeals of decisions of the Canada Border Services Agency made under the Customs Act and Special Import Measures Act or of the Minister of National Revenue under the Excise Tax Act; to inquire into and provide advice on such economic, trade and tariff issues as are referred to the Tribunal by the Governor in Council or the Minister of Finance; to investigate requests from Canadian producers for tariff relief on imported textile inputs that they use in their production operations and to make recommendations to the Minister of Finance on these requests; and to inquire into complaints by domestic producers that increased imports are causing, or threatening to cause, injury to domestic producers and, as directed, make recommendations to the government on an appropriate remedy.",N.A.,Departmental Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1988,N.A.,N.A.,N.A.,N.A.,Transferred,2014,"Pursuant to the Administrative Tribunals Support of Canada Act, the Canadian International Trade Tribunal was amalgamated to the Administrative Tribunals Support Service of Canada, effective November 1, 2014."
80,Canadian Livestock Records Corporation,N.A.,www.clrc.ca,"Animal Pedigree Act, R.S.C. 1985, c. 8 (4th Supp.)","To perform services for and on behalf of members of the 50 Breed Associations, to ensure the maintenance of the Breed Associations’ Herd Books, and to maintain the General Stud and Herd Book.",Agriculture and Agri-Food,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Agriculture and Agri-Food,N.A.,N.A.,1988,BDO Canada LLP,N.A.,31-Dec,1/7 board members,Active,N.A.,"Disclaimer: the profile information for this organization has not yet been validated for 2017, as per the Policy on Results and the Financial Administration Act."
81,Canadian Museum for Human Rights,Canadian Museum for Human Rights,www.humanrights.ca,"Museums Act, S.C. 1990, c. 3, s. 15","To explore the subject of human rights, with special but not exclusive reference to Canada, in order to enhance public understanding of human rights, to promote respect for others, and to encourage reflection and dialogue.",Canadian Heritage,Crown Corporations,MHR,III,N.A.,Minister of Canadian Heritage,N.A.,N.A.,2008,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
82,Canadian Museum of History,Canadian Museum of History,www.historymuseum.ca,"Museums Act, S.C. 1990, c. 3, s. 7; Canadian Museum of History Act S.C.2013 c. 38","Enhance Canadians’ knowledge, understanding and appreciation of events, experiences, people and objects that reflect and have shaped Canada’s history and identity and also to enhance their awareness of world history and cultures.",Canadian Heritage,Crown Corporations,CMC,III,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1990,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
84,Canadian Museum of Immigration at Pier 21,Canadian Museum of Immigration at Pier 21,www.pier21.ca,"Museums Act, S.C. 1990, c.3, s. 15.4","To explore the theme of immigration to Canada in order to enhance public understanding of the experiences of immigrants as they arrived in Canada, of the vital role immigration has played in the building of Canada and of the contributions of immigrants to Canada’s culture, economy and way of life.",Canadian Heritage,Crown Corporations,CMI,III,N.A.,Minister of Canadian Heritage,N.A.,N.A.,2010,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
85,Canadian Museum of Nature,Canadian Museum of Nature,www.nature.ca,"Museums Act, S.C. 1990, c. 3, s. 10","To increase, throughout Canada and internationally, interest in, knowledge of, and appreciation and respect for the natural world by establishing, maintaining, and developing for research and posterity a collection of natural history objects, with special but not exclusive reference to Canada, and by demonstrating the natural world, the knowledge derived from it, and the understanding it represents.",Canadian Heritage,Crown Corporations,MNS,III,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1990,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,"Disclaimer: the profile information for this organization has not yet been validated for 2017, as per the Policy on Results and the Financial Administration Act."
86,Canadian Northern Economic Development Agency,Canadian Northern Economic Development Agency,www.CanNor.gc.ca,"Public Service Rearrangement and Transfer of Duties Act, R.S.C. 1985, c. P-34","Contributing to jobs and growth in Canada, the Canadian Northern  Economic Development Agency (CanNor) works to develop a diversified,  sustainable and dynamic economy across Canada’s three territories.  It  does this by delivering funding programs to Northerners and Aboriginal  people, guiding resource development and major projects across the North  through the Northern Projects Management Office, undertaking research to  support the development of evidence-based policies, advocating for  Northern economic prosperity and diversification, and collaborating with  and aligning the efforts of other federal departments, territorial governments, Aboriginal organizations, and industry.    The Minister Innovation, Science and Economic Development is responsible for CanNor.","Innovation, Science and Economic Development",Departmental Agencies,NED,I.1,IV,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,2009,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
87,Canadian Nuclear Safety Commission,Canadian Nuclear Safety Commission,www.nuclearsafety.gc.ca,"Nuclear Safety and Control Act, S.C. 1997, c. 9","The Minister of Natural Resources is responsible for this organization.    In 1946, Parliament passed the  Atomic Energy Control Act  and  established the Atomic Energy Control Board, providing it with the power  to regulate all nuclear activities related to the development and use of atomic energy in Canada.    More than half a century later, in May 2000, the  Nuclear Safety and Control Act  (NSCA) came into effect and established the Canadian  Nuclear Safety Commission (CNSC) as the successor to the Atomic Energy  Control Board, with responsibilities and authorities to regulate an  industry that spans all segments of the nuclear fuel cycle and a wide  range of industrial, medical and academic uses of nuclear substances.    Additional information can be found in the CNSC’s Report on Plans and Priorities.",Natural Resources,Departmental Corporations,CSN,II,V,Minister of Natural Resources,N.A.,N.A.,2000,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
88,Canadian Pari-Mutuel Agency,N.A.,www.cpma-acpm.agr.gc.ca,"Criminal Code, R.S.C. 1985, c. C-46 (section 204) Treasury Board Decision No. 819211, December 21, 1992","The Canadian Pari-Mutuel Agency is a special operating agency within Agriculture and Agri-Food Canada that regulates and supervises pari-mutuel betting on horse racing at racetracks and betting theatres across Canada, with the objective of ensuring that pari-mutuel betting is conducted in a way that is fair to the betting public.",Agriculture and Agri-Food,Special Operating Agencies,N.A.,N.A.,N.A.,Minister of Agriculture and Agri-Food,N.A.,N.A.,1992,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,"Disclaimer: the profile information for this organization has not yet been validated for 2017, as per the Policy on Results and the Financial Administration Act."
89,Canadian Partnership Against Cancer Corporation,N.A.,www.partnershipagainstcancer.ca,"Canada Not-for-profit Corporations Act, S.C. 2009, c. 23","Canadian Partnership Against Cancer is an independent organization funded by the federal government to accelerate action on cancer control for all Canadians. The Partnership works with cancer experts, charitable organizations, governments, cancer agencies, national health organizations, patients, survivors and others to implement Canada's cancer control strategy.",Health,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Health,N.A.,N.A.,2006,Grant Thornton LLP,N.A.,31-Mar,1/19 board members,Active,N.A.,N.A.
90,Canadian Patient Safety Institute,N.A.,www.patientsafetyinstitute.ca/English/Pages/default.aspx,Canada Not-for-profit Corporations Act,"To provide a leadership role in building a culture of patient safety and quality improvement in the Canadian health care system through coordination across sectors, promotion of best practices, and advice on effective strategies to improve patient safety.",Health,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Health,N.A.,N.A.,2003,Deloitte & Touche LLP,N.A.,31-Mar,1/16 board members,Active,N.A.,N.A.
92,Canadian Race Relations Foundation,N.A.,www.crr.ca,"Canadian Race Relations Foundation Act, S.C. 1998, c. 8","To facilitate throughout Canada the development, sharing, and application of knowledge and expertise to contribute to the elimination of racism and all other forms of racial discrimination in Canadian society.",Canadian Heritage,Crown Corporations,RRF,N.A.,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1996,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
93,Canadian Radio-television and Telecommunications Commission,Canadian Radio-television and Telecommunications Commission,www.crtc.gc.ca,"Canadian Radio-television and Telecommunications Commission Act, R.S.C. 1985, c. C-22","The Canadian Radio-television and Telecommunications Commission (CRTC)  is an administrative tribunal that regulates and supervises  Canadian  broadcasting, and telecommunications in the public interest, as well as  contributes to protecting Canadians from unsolicited communications.    The CRTC reports to Parliament through the Minister of Canadian Heritage.",Canadian Heritage,Departmental Agencies,RTC,I.1,IV,Minister of Canadian Heritage,N.A.,N.A.,1968,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
94,Canadian Security Intelligence Service,N.A.,www.csis-scrs.gc.ca,"Canadian Security Intelligence Service Act, R.S.C. 1985, c. C-23","The Canadian Security Intelligence Service (CSIS) is mandated to investigate activities suspected of constituting threats to the security of Canada, and to report on these to the Government of Canada. CSIS may also take measures to reduce threats to the security of Canada in accordance with well-defined legal requirements and Ministerial Direction. CSIS also provides security assessments and advice to Government of Canada partners in support of government security screening and immigration screening.",Public Safety and Emergency Preparedness,Departmental Agencies,CSI,I.1,V,Minister of Public Safety and Emergency Preparedness,N.A.,N.A.,1984,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,"Disclaimer: the profile information for this organization has not yet been validated for 2017, as per the Policy on Results and the Financial Administration Act."
95,Canadian Space Agency,Canadian Space Agency,www.asc-csa.gc.ca,"Canadian Space Agency Act, S.C. 1990, c. 13","The mandate of the Canadian Space Agency (CSA) is ""to promote the  peaceful use and development of space, to advance the knowledge of space  through science and to ensure that space science and technology provide social and economic benefits for Canadians"".    The CSA is delivering on its mandate in collaboration with Canadian  industry, academia, Government of Canada (GoC) organizations and other international space agencies or organizations.    The founding legislation that received Royal Assent in 1990 attributed four main functions to the CSA:    Assist the Minister to coordinate the space policies and programs of the Government of Canada;   Plan, direct, manage and implement programs and projects relating to  scientific or industrial space research and development, and the application of space technology;   Promote the transfer and diffusion of space technology to and throughout Canadian industry; and   Encourage commercial exploitation of space capabilities, technology, facilities and systems.     The Minister of Innovation, Science and Economic Development is responsible for this organization.","Innovation, Science and Economic Development",Departmental Agencies,CSA,I.1,IV,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,1989,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
96,Canadian Sport Institute Ontario,N.A.,www.csiontario.ca/home,"Corporations Act, R.S.C. 1990, c. C-38","The Canadian Sport Institute Ontario is committed to the pursuit of excellence by providing world-class programs, services, and leadership to high-performance athletes and choaches to enhance their ability to achieve international podium performances.",Canadian Heritage,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Sport and Persons with Disabilities,N.A.,N.A.,1990,Grant Thornton LLP,N.A.,31-Mar,0/8 board members,Active,N.A.,N.A.
97,Canadian Tourism Commission,Destination Canada,en-corporate.canada.travel,"Canadian Tourism Commission Act, S.C. 2000, c. 28","To sustain a vibrant and profitable tourism industry in Canada; to market Canada as a desirable tourist destination; to support a cooperative relationship between the private sector and the governments of Canada, the provinces, and the territories with respect to Canadian tourism; and to provide information about Canadian tourism to the private sector and to the federal, provincial, and territorial governments.","Innovation, Science and Economic Development",Crown Corporations,TRC,III,N.A.,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,2001,Auditor General of Canada,N.A.,31-Dec,N.A.,Active,N.A.,"Disclaimer: the profile information for this organization has not yet been validated for 2017, as per the Policy on Results and the Financial Administration Act."
98,Canadian Transportation Accident Investigation and Safety Board,Transportation Safety Board of Canada,www.bst-tsb.gc.ca,"Canadian Transportation Accident Investigation and Safety Board Act, S.C. 1989, c. 3","The Canadian Transportation Accident Investigation and Safety Board is referred to as the Transportation Safety Board of Canada (TSB) in its day-to-day activities. The TSB is an independent agency created in 1990 by an Act of Parliament. It operates at arm’s length from other government departments and agencies to ensure that there are no real or perceived conflicts of interest. The TSB’s sole objective is to advance air, marine, rail and pipeline transportation safety. This mandate is fulfilled by conducting independent investigations into selected transportation occurrences to identify the causes and contributing factors, and the safety deficiencies evidenced by these occurrences. The TSB makes recommendations to reduce or eliminate any such safety deficiencies and reports publicly on its investigations. The TSB then follows up with stakeholders to ensure that safety actions are taken to reduce risks and improve safety. The TSB may also represent Canadian interests in foreign investigations of transportation accidents involving Canadian registered, licensed or manufactured aircraft, ships or railway rolling stock. In addition, the TSB carries out some of Canada’s obligations related to transportation safety at the International Civil Aviation Organization (ICAO) and the International Maritime Organization (IMO).",Privy Council,Departmental Corporations,TSB,II,IV,Minister of Democratic Institutions,President of the Queen's Privy Council for Canada,N.A.,1990,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
99,Canadian Transportation Agency,Canadian Transportation Agency,www.cta-otc.gc.ca,"Canada Transportation Act, S.C. 1996, c. 10","The Canadian Transportation Agency is an independent, quasi-judicial  tribunal and regulator. It plays a unique role with respect to the national transportation system.    The Agency's core mandate is to help ensure the efficiency and  accessibility of the national transportation system through the use of a  range of authorities and tools, which fall into four main categories:     Making and applying rules and guidance : The establishment of  ""rules of the game"" through regulations, guidelines, codes of practice,  and interpretation notes, and the use of various instruments to foster compliance.    Overseeing market entry and exit : The issuance of operating  licences and permits to companies that meet specific criteria and the  application of discontinuance processes where prescribed by statute.    Resolving disputes : The resolution of disagreements over costs or  services between transportation companies and their customers  (passengers and shippers) and neighbours (residents and communities),  using facilitation, mediation, arbitration, and adjudication.    Providing information : The collection, analysis, and dissemination  of information on the national transportation system through mechanisms such as the Agency's Annual Report.     The Agency is an arm's length organization that reports to Parliament through the Minister of Transport.    Additional information on the Agency's role, mission and mandate can be  found in the Agency's Report on Plans and Priorities and is available on the Agency's website.",Transport,Departmental Agencies,ATN,I.1,IV,Minister of Transport,N.A.,N.A.,1903,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
100,"Canadian Wheat Board, The",N.A.,N.A.,"Canadian Wheat Board (Interim Operations) Act, S.C. 2011, c. 25, s.14",The object of the Corporation is to market grain for the benefit of producers who choose to deal with the Corporation. ,N.A.,Shared-Governance Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1935,N.A.,N.A.,N.A.,N.A.,Dissolved,2014,N.A.
103,Caribbean Development Bank,N.A.,www.caribank.org,"Articles of Agreement of the Caribbean Development Bank, 1969; implemented in Canada by the International Development (Financial Institutions) Assistance Act, R.S.C. 1985, c. I-18","The Caribbean Development Bank intends to be the leading catalyst for development resources into the region, working in an efficient, responsive and collaborative manner with borrowing member countries and other development partners toward the systematic reduction of poverty through social and economic development.",Global Affairs,International Organizations,N.A.,N.A.,N.A.,Minister of Foreign Affairs,N.A.,N.A.,1970,Ernst and Young,N.A.,31-Dec,9.3% ownership,Active,N.A.,N.A.
104,Centre national multisport-Montréal,N.A.,N.A.,"Companies Act, R.S.Q. c. C-38","To help high-performance athletes training for the Olympic Games, world championships, and other international competitions to reach their highest level of performance.",N.A.,Shared-Governance Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1997,N.A.,N.A.,N.A.,N.A.,Dissolved,2012,N.A.
105,Charlottetown Airport Authority Inc.,N.A.,www.flypei.com,"Canada Not-for-profit Corporations Act (S.C. 2009, c. 23)","To manage, operate, and develop the airport.",Transport,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Transport,N.A.,N.A.,1999,Arsenault Best Cameron Ellis LLP,N.A.,31-Dec,2/12 board members,Active,N.A.,N.A.
297,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,Civilian Review and Complaints Commission for the RCMP,www.crcc-ccetp.gc.ca/,"Royal Canadian Mounted Police Act, R.S.C 1985, c. R-10","The Civilian Review and Complaints Commission for the Royal Canadian  Mounted Police (the Commission) is an independent agency created by  Parliament and is not part of the Royal Canadian Mounted Police (RCMP).  The Commission’s fundamental role is to provide civilian review of the  conduct of the RCMP members in carrying out their policing duties,  thereby holding the RCMP accountable to the public. The Commission  ensures that complaints about the conduct of RCMP members are examined  fairly and impartially. Its findings and recommendations help identify  and remedy policing problems which stem from the conduct of individual  RCMP members or from deficiencies in RCMP policies or practices.  The  Commission also conducts reviews of specified RCMP activities, reports  to provinces which contract RCMP services, conducts research, program  outreach and public education, and provides independent observers to investigations of serious incidents involving RCMP members.    The Minister of Public Safety and Emergency Preparedness is responsible for this organization.",Public Safety and Emergency Preparedness,Departmental Agencies,RPP,I.1,IV,Minister of Public Safety and Emergency Preparedness,N.A.,N.A.,2014,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
107,Coaching Association of Canada,N.A.,www.coach.ca,"Canada-Not-For-Profit Corporations Act, S.C. 2009, c. 23","Lead ethically sound coaching and sport leader training, delivery and promotion in association with other stakeholders, through a leading-edge national coach and sport leader development program that provides for coaching within a broad context of sport leadership based on the needs of sport participants in all contexts of participation.",Canadian Heritage,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Canadian Heritage,N.A.,N.A.,1971,Ouseley Hanvey Clipsham Deep LLP,N.A.,31-Mar,1/15 board members,Active,N.A.,N.A.
342,Commissioner of Canada Election,N.A.,N.A.,N.A.,N.A.,N.A.,Other Organizations,OCE,N.A.,IV,N.A.,N.A.,N.A.,.,N.A.,N.A.,N.A.,N.A.,Active,N.A.,The portion of the federal public administration in the Office of the Director of Public Prosecutions in which the employees referred to in section 509.3 of the Canada Elections Act occupy their positions (Financial Administration Act: Schedule IV)
108,Communication Canada,N.A.,N.A.,N.A.,N.A.,N.A.,Other Organizations,CIO,N.A.,IV,N.A.,N.A.,N.A.,.,N.A.,N.A.,N.A.,N.A.,Active,N.A.,Non-operational.
110,Communications Security Establishment,Communications Security Establishment Canada,www.cse-cst.gc.ca,"National Defence Act, R.S.C. 1985, c. N-5 Order-in-Council P.C. 2011-1301","To acquire and use information from the global information infrastructure for the purpose of providing foreign intelligence, in accordance with Government of Canada intelligence priorities; To provide advice, guidance and services to help ensure the protection of electronic information and of information infrastructures of importance to the Government of Canada; and To provide technical and operational assistance to federal law enforcement and security agencies in the performance of their lawful duties.",National Defence,Departmental Agencies,CSE,I.1,V,Minister of National Defence,N.A.,N.A.,2011,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
112,Consulting and Audit Canada Revolving Fund,N.A.,N.A.,"Revolving Funds Act, R.S.C. 1985, c. R-8 Treasury Board Decision No. 813848, May 30, 1990","The Consulting and Audit Canada Revolving Fund is a Special Operating Agency that provides, on an optional and fee-for-service basis, consulting and audit services to federal departments and agencies. Upon request, these services are also provided to provincial, territorial, municipal and aboriginal governments in Canada, to foreign governments and to international organizations.",N.A.,Special Operating Agencies,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1991,N.A.,N.A.,N.A.,N.A.,Dissolved,2013,N.A.
114,Copyright Board,Copyright Board Canada,www.cb-cda.gc.ca,"Copyright Act, R.S.C. 1985, c. C-42","The Copyright Board is an economic regulatory body empowered to  establish, either mandatorily or at the request of an interested party,  the royalties to be paid for the use of copyrighted works, when the administration of such copyright is entrusted to a  collective-administration society. The Board also has the right to  supervise agreements between users and licensing bodies and issues licences when the copyright owner cannot be located.    The Minister of Innovation, Science and Economic Development is responsible for this organization.","Innovation, Science and Economic Development",Departmental Agencies,COP,I.1,IV,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,1989,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
116,Corporation for the Mitigation of Mackenzie Gas Project Impacts,N.A.,N.A.,"Mackenzie Gas Project Impacts Act, S.C. 2006, c. 4, s. 208",Will be responsible for the administration of $500 million to regional organizations for projects that mitigate the existing or anticipated socio-economic impacts on communities in the Northwest Territories arising from the Mackenzie Gas Project.,N.A.,Crown Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2006,N.A.,N.A.,N.A.,N.A.,Dissolved,2014,N.A.
117,Correctional Service of Canada,Correctional Service Canada,www.csc-scc.gc.ca,"Corrections and Conditional Release Act, S.C. 1992, c. 20","The Minister of Public Safety and Emergency Preparedness is responsible for the Correctional Service of Canada.    The purpose of the federal correctional system, as defined in law, is to  contribute to the maintenance of a just, peaceful and safe society by  carrying out sentences imposed by courts through the safe and humane custody and supervision of offenders; and by assisting the rehabilitation of offenders and their reintegration into the community as law-abiding citizens through the provision of programs in  penitentiaries and in the community ( Corrections and Conditional Release Act,  s. 3).    The Correctional Service of Canada, as part of the criminal justice  system and respecting the rule of law, contributes to public safety by  actively encouraging and assisting offenders to become law-abiding  citizens, while exercising reasonable, safe, secure and humane control.    Additional information can be found in the organization’s Report on Plans and Priorities.",Public Safety and Emergency Preparedness,Departmental Agencies,PEN,I.1,IV,Minister of Public Safety and Emergency Preparedness,N.A.,N.A.,1979,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
118,Courts Administration Service,Courts Administration Service,www.cas-satj.gc.ca,"Courts Administration Service Act, S.C, 2002, c. 8","The Courts Administration Service (CAS) was established in 2003 with the coming into force of the  Courts Administration Service Act . The  role of CAS is to provide effective and efficient judicial, registry and  corporate services to four superior courts of record – the Federal Court  of Appeal, the Federal Court, the Court Martial Appeal Court of Canada  and the Tax Court of Canada. The Act enhances judicial independence by  placing administrative services at arm’s length from the Government of  Canada and enhances accountability for the use of public money.    The Minister of Justice and Attorney General of Canada is responsible for this organization.",Justice,Departmental Agencies,CAJ,I.1,IV,Minister of Justice and Attorney General of Canada,N.A.,N.A.,2003,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
119,Defence Construction (1951) Limited,Defence Construction Canada,www.dcc-cdc.gc.ca,"Defence Production Act,  R.S.C. 1985, c. D-1 Canada Business Corporations Act,  R.S.C. 1985, c. C-44","To deliver and maintain infrastructure and environmental projects and services, and provide full lifecycle support for infrastructure and environmental assets, required for the defence of Canada.",Public Services and Procurement,Crown Corporations,DCL,III,N.A.,Minister of Public Services and Procurement,N.A.,N.A.,1951,Auditor General of Canada,N.A.,31-Mar,N.A.,Active,N.A.,"Disclaimer: the profile information for this organization has not yet been validated for 2017, as per the Policy on Results and the Financial Administration Act."
120,Defence Research and Development Canada,Defence Research and Development Canada,www.drdc-rddc.gc.ca/en/,"National Defence Act, R.S.C. 1985, c. N-5 Treasury Board Decision No. 828209, April 1, 2000","Our mission is to provide a strategic knowledge and technology advantage. Defence Research and Development Canada (DRDC) supports defence and security operations at home and abroad with knowledge and technology; provides S&T to forecast, cost, and deliver future readiness levels to meet operational requirements; and, generates knowledge and technology for a robust, connected and multi-jurisdictional security and intelligence environment. DRDC leverages other organizations’ expertise, knowledge and resources so that diverse collaborations with partners create a more networked environment. DRDC anticipates S&T defence and security challenges and acts as the catalyst for an innovative defence and security sector across Canada.",National Defence,Special Operating Agencies,N.A.,N.A.,N.A.,Minister of National Defence,N.A.,N.A.,2000,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
